activity_name,date,average_heart_rate,total_time_seconds,total_distance_km,total_elevation_gain,average_speed_km_h,max_speed_km_h,calories
Afternoon Run,2024-12-07T14:12:03Z,152.3,8094,17.05,723.0,8.15,16.92,N/A
Course à pied dans l'après-midi,2024-12-05T13:17:03Z,160.1,3856,12.8,121.0,12.02,21.6,N/A
Course à pied dans l'après-midi,2024-12-04T14:36:41Z,151.4,1791,5.6,21.0,11.29,19.8,N/A
Trail le matin,2024-11-30T07:08:02Z,150.1,6764,15.03,537.0,8.52,16.2,N/A
Course à pied en soirée,2024-11-28T20:07:19Z,133.4,1966,4.73,16.0,8.69,12.24,N/A
Evening Run,2024-11-26T18:47:45Z,157.1,1968,6.71,10.0,12.3,18.0,N/A
Course à pied dans l'après-midi,2024-11-21T13:22:02Z,148.1,4198,6.66,533.0,7.37,17.28,N/A
Course à pied dans l'après-midi,2024-11-19T16:45:22Z,159.3,3217,10.04,278.0,12.7,18.36,N/A
Course à pied dans l'après-midi,2024-11-17T15:35:48Z,157.0,1307,4.65,7.0,12.84,16.2,N/A
Marathon de Toulouse 2024 !,2024-11-10T07:49:57Z,154.3,13653,42.56,107.0,11.22,15.84,N/A
W12 S1,2024-11-07T08:34:23Z,131.5,1585,4.12,12.0,9.4,11.52,N/A
W11 S4,2024-11-04T17:41:33Z,152.3,2335,6.95,10.0,10.72,13.32,N/A
W11 S3,2024-11-02T08:24:18Z,133.0,1645,3.9,42.0,8.96,12.6,N/A
W11 S2,2024-10-31T18:30:52Z,159.6,3316,11.28,23.0,12.34,16.92,N/A
W11 S1,2024-10-29T18:16:10Z,138.0,2705,7.14,29.0,9.54,15.12,N/A
W10 S4,2024-10-27T08:44:54Z,155.4,5199,16.12,78.0,11.52,14.04,N/A
W10 S3,2024-10-26T17:02:17Z,141.6,2259,5.17,29.0,9.44,14.4,N/A
W10 S2,2024-10-24T18:16:28Z,147.6,3841,12.33,26.0,11.65,18.0,N/A
W10 S1,2024-10-22T18:32:38Z,138.2,3001,8.23,25.0,9.87,16.2,N/A
W9 S4,2024-10-20T08:59:18Z,151.9,10439,28.01,225.0,11.12,17.64,N/A
W9 S3,2024-10-19T09:42:01Z,144.2,2851,8.51,20.0,10.77,19.8,N/A
W9 S2,2024-10-17T17:06:55Z,135.9,4506,12.95,21.0,10.36,13.68,N/A
Course à pied dans l'après-midi,2024-10-16T17:12:28Z,147.0,3382,10.02,106.0,10.71,19.44,N/A
W9 S1,2024-10-15T07:01:08Z,158.4,4009,13.51,20.0,12.15,15.84,N/A
Course à pied le midi,2024-10-13T11:10:57Z,146.0,5401,16.11,64.0,10.74,15.84,N/A
Course à pied dans l'après-midi,2024-10-12T16:45:18Z,140.0,2694,7.43,28.0,9.93,14.4,N/A
10x1min @3’00 (plus ou moins),2024-10-10T17:33:54Z,153.1,2961,9.45,11.0,11.67,21.24,N/A
Course à pied le midi,2024-10-08T12:19:26Z,148.0,2412,6.79,14.0,10.19,13.68,N/A
Sortie (trop ?) longue du dimanche,2024-10-06T08:03:02Z,151.5,8990,26.32,299.0,10.79,15.84,N/A
Course à pied le midi,2024-10-05T11:04:04Z,157.1,2159,6.81,10.0,13.18,21.6,N/A
Course à pied le matin,2024-10-03T10:11:47Z,147.0,4201,11.66,30.0,10.0,12.24,N/A
Course à pied dans l'après-midi,2024-10-01T15:54:38Z,149.7,3535,10.88,20.0,11.25,16.92,N/A
Course à pied le matin,2024-09-29T09:41:04Z,149.9,6438,20.29,94.0,11.36,15.48,N/A
Course à pied le midi,2024-09-26T12:49:05Z,140.3,3918,10.79,26.0,9.97,13.68,N/A
Course à pied dans l'après-midi,2024-09-24T15:13:40Z,151.0,3600,11.66,21.0,11.68,16.92,N/A
Course à pied le matin,2024-09-22T10:37:17Z,154.0,5798,17.46,143.0,10.85,24.84,N/A
course à pied l'après midi,2024-09-21T14:07:44Z,144.7,2155,6.83,10.0,11.41,16.92,N/A
Course à pied dans l'après-midi,2024-09-19T13:05:23Z,147.3,3644,10.25,51.8,10.16,19.39,N/A
Course à pied dans l'après-midi,2024-09-17T15:35:52Z,155.9,2844,9.5,13.5,12.03,19.21,N/A
Trail dans l'après-midi,2024-09-15T15:14:11Z,147.5,5028,10.03,315.0,10.3,19.6,N/A
Course à pied dans l'après-midi,2024-09-14T15:38:15Z,158.9,1593,5.37,11.5,12.15,24.14,N/A
Course à pied dans l'après-midi,2024-09-12T13:36:55Z,162.1,2601,8.2,17.7,11.35,20.04,N/A
Course à pied en soirée,2024-09-10T18:53:48Z,140.0,2786,8.13,11.2,10.5,16.87,N/A
Course à pied le matin,2024-09-08T08:37:02Z,144.3,1911,5.33,6.8,10.07,18.58,N/A
Course à pied dans l'après-midi,2024-09-07T14:59:41Z,166.3,3626,10.35,84.8,11.72,19.86,N/A
Course à pied en soirée,2024-09-05T19:29:48Z,139.3,3335,8.16,64.7,8.9,17.02,N/A
Course à pied en soirée,2024-09-03T19:06:40Z,145.8,2598,7.61,4.9,10.67,25.18,N/A
Course à pied dans l'après-midi,2024-08-29T17:39:03Z,164.5,2545,8.38,17.8,12.05,19.44,N/A
Course à pied le matin,2024-08-26T10:56:12Z,149.9,4143,7.72,22.6,9.58,27.14,N/A
Course à pied le midi,2024-08-23T11:32:07Z,163.6,3018,7.14,15.1,11.3,19.32,N/A
Course à pied le matin,2024-08-17T09:04:54Z,162.1,2850,8.59,50.6,10.85,22.56,N/A
Course à pied en soirée,2024-08-13T18:48:18Z,168.8,1749,5.73,0.0,11.97,23.18,N/A
Course à pied en soirée,2024-08-13T18:28:45Z,140.7,1131,3.18,12.3,10.26,15.62,N/A
Course à pied dans l'après-midi,2024-08-08T17:20:21Z,164.4,3772,10.12,59.5,10.94,22.05,N/A
Course à pied en soirée,2024-08-04T20:40:36Z,159.1,1280,4.17,41.0,11.73,16.16,N/A
Course à pied le matin,2024-07-31T09:19:56Z,167.1,8267,22.02,299.8,10.52,17.54,N/A
Course à pied en soirée,2024-07-28T19:26:15Z,168.9,2884,8.03,118.2,10.84,16.21,N/A
Course à pied de nuit,2024-07-24T21:05:07Z,171.2,1534,5.28,53.9,13.31,20.71,N/A
Course à pied en soirée,2024-07-23T20:42:34Z,136.4,1723,4.19,3.7,9.2,17.68,N/A
Course à pied dans l'après-midi,2024-07-21T15:23:12Z,N/A,6704,21.27,141.4,11.44,15.56,N/A
Night Run,2024-07-16T21:18:04Z,N/A,1367,5.0,7.2,14.64,27.4,N/A
Course à pied en soirée,2024-07-05T18:58:51Z,167.7,3489,10.54,72.7,11.26,20.32,N/A
Course à pied en soirée,2024-07-03T18:24:26Z,139.5,1443,3.82,18.7,9.66,14.58,N/A
Course à pied le midi,2024-06-30T11:39:58Z,165.7,4054,12.03,64.7,11.24,24.48,N/A
Course à pied le midi,2024-06-28T12:10:30Z,132.3,3488,7.62,47.3,8.14,29.43,N/A
Course à pied de nuit,2024-06-27T21:42:21Z,166.4,1439,5.03,18.8,12.62,19.36,N/A
Course à pied avec double J,2024-06-23T17:40:21Z,156.3,4808,11.13,60.2,10.95,31.19,N/A
Course à pied en soirée,2024-06-20T19:13:29Z,163.8,2504,7.59,45.3,11.61,16.93,N/A
La montre pete un cable,2024-06-18T19:29:31Z,180.0,466,7.35,10.5,56.79,14.14,N/A
Course à pied en soirée,2024-05-30T19:08:06Z,177.2,1503,5.04,40.4,12.06,17.52,N/A
Night Run,2024-04-15T20:52:49Z,N/A,1374,5.0,22.5,13.33,19.31,N/A
Morning Run,2023-03-26T09:25:21Z,N/A,2108,5.92,5.4,10.17,15.37,N/A
Course à pied dans l'après-midi,2023-02-28T17:48:22Z,161.9,933,2.79,22.6,10.83,27.86,N/A
Afternoon Run,2023-02-28T17:35:13Z,N/A,2234,5.44,85.4,9.68,14.42,N/A
Course à pied le matin,2023-02-21T07:45:19Z,173.1,1594,4.72,28.8,11.67,20.14,N/A
Course à pied le matin,2023-02-05T07:53:28Z,156.7,2503,7.24,46.6,10.74,24.66,N/A
À la fraiche ,2023-01-22T07:53:40Z,144.9,1751,4.33,40.4,9.76,22.34,N/A
Course à pied en soirée,2023-01-20T18:09:51Z,173.5,3847,12.75,48.6,12.64,20.31,N/A
Afternoon Run,2022-12-20T14:43:33Z,N/A,2063,5.5,6.4,9.66,15.15,N/A
Avec le Val,2022-11-27T08:25:09Z,151.5,1993,4.95,31.2,9.15,17.64,N/A
Course à pied en soirée,2022-09-15T18:28:30Z,156.8,2746,5.29,39.9,7.52,25.29,N/A
Course à pied de nuit,2022-08-30T21:23:22Z,158.6,427,1.81,0.0,15.53,21.74,N/A
Course à pied dans l'après-midi,2022-06-11T16:12:09Z,171.6,1419,4.81,4.5,13.4,20.31,N/A
Course à pied en soirée,2022-06-02T18:34:05Z,163.7,935,2.48,4.9,14.32,19.05,N/A
Course à pied dans l'après-midi,2022-06-02T17:24:04Z,163.7,650,2.43,6.7,13.47,16.91,N/A
Course à pied l'après-midi,2022-05-21T17:18:47Z,167.5,1148,3.97,6.7,12.45,20.66,N/A
Course à pied l'après-midi,2022-05-15T15:24:04Z,152.7,1141,3.99,7.0,12.58,16.68,N/A
1ere sortie depuis rupture LCA,2022-05-09T18:24:34Z,159.9,877,2.38,7.2,9.89,16.64,N/A
Course à pied le soir,2021-08-18T20:33:27Z,164.5,1898,5.0,56.3,12.87,24.12,N/A
Course à pied matinale,2021-07-21T09:06:39Z,153.2,3966,9.83,2.3,10.09,13.68,N/A
Course à pied l'après-midi,2021-07-15T17:33:32Z,163.2,2576,7.99,80.1,11.44,24.84,N/A
Course à pied l'après-midi,2021-06-24T14:23:33Z,166.4,3149,8.58,48.6,11.91,30.24,N/A
Course à pied le midi,2021-06-20T11:59:46Z,179.7,2699,8.01,52.1,12.03,29.52,N/A
Course à pied matinale,2021-06-12T09:01:14Z,173.3,2950,10.05,55.0,12.59,20.88,N/A
Course à pied l'après-midi,2021-06-03T13:43:16Z,167.0,2684,7.92,122.5,11.93,19.08,N/A
Course à pied le soir,2021-06-01T19:28:05Z,172.0,5094,8.6,8.4,12.36,18.72,N/A
Course à pied l'après-midi,2021-05-10T16:38:40Z,162.1,2536,8.61,122.5,12.46,19.44,N/A
Course à pied l'après-midi,2021-04-29T16:51:13Z,147.3,2859,8.14,86.1,10.4,16.56,N/A
Course à pied le soir,2021-04-19T18:13:35Z,174.5,4005,13.05,68.6,12.46,17.28,N/A
